apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,date,dewPoint,humidity,icon,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,summary,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed
17.13,1514844000,4.4,1514887200.0,17.13,1514844000,-2.32,1514808000,0.02,2018-01-01,-1.68,0.54,clear-day,0.48,,0.0,0.0,,0.0,,1028.25,Clear throughout the day.,1514809281,1514842804,18.21,1514836800,12.1,1514894400.0,18.21,1514836800,6.02,1514808000,1514782800,2,1514822400,10.0,309,14.03,1514829600,4.14
20.02,1514923200,12.02,1514944800.0,20.02,1514923200,4.4,1514887200,0.05,2018-01-02,5.53,0.58,clear-day,0.52,,0.0,0.0,,0.0,,1028.57,Clear throughout the day.,1514895685,1514929254,25.66,1514923200,12.5,1514980800.0,25.66,1514923200,12.1,1514894400,1514869200,2,1514908800,10.0,266,11.99,1514912400,4.67
28.17,1515009600,14.13,1515070800.0,28.17,1515009600,12.5,1514980800,0.13,2018-01-03,6.01,0.53,partly-cloudy-night,0.56,,0.0,0.0,,0.0,,1024.78,Mostly cloudy starting in the evening.,1514982087,1515015706,28.17,1515009600,23.34,1515070800.0,28.17,1515009600,12.5,1514980800,1514955600,2,1514995200,10.0,254,4.79,1514955600,0.63
15.6,1515067200,-3.01,1515157200.0,25.84,1515045600,9.01,1515124800,0.98,2018-01-04,16.63,0.75,fog,0.6,,0.0,0.0002,1515088800.0,0.0,,999.77,Foggy until afternoon.,1515068487,1515102160,23.97,1515110400,8.7,1515157200.0,26.46,1515052800,19.66,1515124800,1515042000,1,1515078000,5.04,335,24.25,1515099600,7.31
4.32,1515189600,-3.27,1515243600.0,8.01,1515128400,-3.01,1515157200,0.13,2018-01-05,-1.7,0.52,clear-day,0.63,,0.0,0.0,,0.0,,1009.74,Clear throughout the day.,1515154885,1515188615,15.17,1515182400,7.29,1515240000.0,18.56,1515128400,8.7,1515157200,1515128400,2,1515168000,9.86,290,21.6,1515182400,8.03
1.94,1515261600,-4.26,1515304800.0,1.94,1515261600,-3.97,1515297600,0.03,2018-01-06,-7.24,0.46,clear-day,0.67,,0.0,0.0,,0.0,,1023.96,Clear throughout the day.,1515241280,1515275071,12.84,1515268800,3.5,1515330000.0,12.84,1515268800,6.44,1515297600,1515214800,2,1515254400,10.0,294,18.04,1515254400,6.42
18.12,1515355200,10.07,1515380400.0,18.12,1515355200,-4.26,1515304800,0.2,2018-01-07,-2.8,0.53,partly-cloudy-night,0.71,,0.0,0.0,,0.0,,1033.39,Mostly cloudy starting in the afternoon.,1515327673,1515361529,18.12,1515355200,16.61,1515384000.0,18.12,1515355200,3.5,1515330000,1515301200,2,1515340800,10.0,272,12.38,1515301200,2.41
28.69,1515456000,25.27,1515459600.0,30.0,1515470400,10.17,1515387600,0.82,2018-01-08,13.29,0.64,partly-cloudy-day,0.74,,0.0,0.0,,0.0,,1022.75,Mostly cloudy throughout the day.,1515414064,1515447988,29.57,1515441600,27.92,1515488400.0,30.0,1515470400,16.79,1515387600,1515387600,2,1515427200,9.83,231,9.9,1515391200,3.33
40.05,1515528000,22.65,1515585600.0,40.05,1515528000,26.56,1515502800,0.21,2018-01-09,23.73,0.65,partly-cloudy-night,0.77,,0.0006,0.0048,1515520800.0,0.34,rain,1021.69,Partly cloudy in the morning.,1515500453,1515534449,42.93,1515524400,22.65,1515585600.0,42.93,1515524400,27.92,1515488400,1515474000,2,1515513600,9.84,285,14.25,1515520800,2.68
39.3,1515614400,35.1,1515654000.0,39.3,1515614400,22.65,1515585600,0.29,2018-01-10,23.6,0.71,partly-cloudy-night,0.8,,0.0,0.0,,0.0,,1031.26,Mostly cloudy starting in the afternoon.,1515586840,1515620911,39.3,1515614400,35.1,1515654000.0,39.3,1515614400,22.65,1515585600,1515560400,2,1515600000,10.0,172,6.84,1515607200,0.58
